,node_id,y,x,street_count,highway,ref,geometry,degree,nearby_amenity,place_name
0,366440881,10.7926866,106.6959108,4,,,POINT (106.6959108 10.7926866),5,,
1,411917818,10.7936866,106.6902628,1,,,POINT (106.6902628 10.7936866),2,Cà Phê StoryM,Đường Trần Quý Khoách
2,411917819,10.7935602,106.6895225,4,,,POINT (106.6895225 10.7935602),8,Cà Phê StoryM,Trần Nhật Duật
3,411917825,10.7922967,106.6880823,3,,,POINT (106.6880823 10.7922967),6,Cà Phê Yes,Cà Phê Yes
4,411917828,10.7927487,106.6877013,3,,,POINT (106.6877013 10.7927487),6,Trường THCS Văn Lang,Đường Ðặng Tất
5,411917836,10.7706475,106.704554,4,,,POINT (106.704554 10.7706475),6,Nhà Hàng Don Chicken,Hàm Nghi
6,411917837,10.770821,106.7012188,4,crossing,,POINT (106.7012188 10.770821),4,VietinBank,Vietinbank Tower
7,411917839,10.7711389,106.701082,5,,,POINT (106.701082 10.7711389),5,Trường Cao đẳng Kỹ thuật Cao Thắng,Club 61
8,411917880,10.7730152,106.7050529,3,,,POINT (106.7050529 10.7730152),4,Cà Phê L’amant,Cà Phê Thanh
9,411917881,10.7727751,106.7048194,3,,,POINT (106.7048194 10.7727751),4,Nhà Hàng Au Tresor,Kho bạc Nhà nước TP.HCM
10,411917924,10.7902899,106.6942858,3,,,POINT (106.6942858 10.7902899),3,,Võ Thị Sáu
11,411917959,10.7907006,106.6884139,3,,,POINT (106.6884139 10.7907006),4,Vietcombank,WinMart+
12,411918191,10.7635026,106.6905496,3,,,POINT (106.6905496 10.7635026),6,Nhà Làm Phở,
13,411918236,10.7595027,106.6840512,4,,,POINT (106.6840512 10.7595027),4,,Đường Nguyễn Văn Cừ
14,411918269,10.7850689,106.70015,3,,,POINT (106.70015 10.7850689),6,,Bánh Cuốn Hồng Hạnh
15,411918272,10.7858296,106.7008703,3,,,POINT (106.7008703 10.7858296),6,Quan nem,GreenS
16,411918348,10.7670484,106.6960346,4,,,POINT (106.6960346 10.7670484),6,Trà Sữa TocoToco,Cà Phê Và Board Game
17,411918465,10.762927,106.687691,4,,,POINT (106.687691 10.762927),8,,Quán Bar SHI Lounge & Rooftop
18,411918485,10.7902953,106.7008725,1,,,POINT (106.7008725 10.7902953),2,,Hẻm 41 Đường Nguyễn Bỉnh Khiêm
19,411918486,10.7907263,106.7012589,3,,,POINT (106.7012589 10.7907263),6,Nhà Hàng Xẻng - Mồi & Bia,Hẻm 41 Đường Nguyễn Bỉnh Khiêm
20,411918498,10.7912691,106.6997163,1,,,POINT (106.6997163 10.7912691),2,Viện Khoa học Kỹ thuật Nông nghiệp miền Nam,Hẻm 109 Đường Nguyễn Bỉnh Khiêm
21,411918499,10.7917244,106.7001644,3,,,POINT (106.7001644 10.7917244),6,,Hẻm 109 Đường Nguyễn Bỉnh Khiêm
22,411918572,10.7896217,106.7045046,3,,,POINT (106.7045046 10.7896217),3,,Nguyễn Thị Minh Khai
23,411918577,10.7786557,106.7053153,4,,,POINT (106.7053153 10.7786557),6,Cà Phê Người Sài Gòn,Nguyễn Siêu
24,411918626,10.777232,106.704781,1,,,POINT (106.704781 10.777232),2,Kyung Bok Gung Korean Restaurant,Hẻm 5 Nguyễn Siêu
25,411918627,10.777634,106.7043473,3,,,POINT (106.7043473 10.777634),4,Nhà Hàng StormP Saigon,Hẻm 5 Nguyễn Siêu
26,411918706,10.7736195,106.6895211,4,,,POINT (106.6895211 10.7736195),3,,Đường Nguyễn Thị Minh Khai
27,411918711,10.7943897,106.6910903,4,,,POINT (106.6910903 10.7943897),8,Bánh Canh Cua 87,Trần Khắc Chân
28,411918713,10.7942316,106.6901849,3,,,POINT (106.6901849 10.7942316),6,Cà Phê StoryM,Trần Khánh Dư
29,411918714,10.7821327,106.6989225,3,,,POINT (106.6989225 10.7821327),6,Mì Quảng Rau Sạch,Đường Hai Bà Trưng
30,411918767,10.7795984,106.6988104,3,,,POINT (106.6988104 10.7795984),4,Nhà thờ Đức Bà Sài Gòn,Nhà thờ Đức Bà Sài Gòn
31,411918777,10.7906751,106.6953456,1,,,POINT (106.6953456 10.7906751),2,ATM Sacombank,Hẻm 27 Đuờng Võ Thị Sáu
32,411918789,10.7755731,106.7067032,3,,,POINT (106.7067032 10.7755731),3,,Đường Tôn Ðức Thắng
33,411918792,10.7749437,106.7066578,3,,,POINT (106.7066578 10.7749437),3,,Khách sạn Renaissance Riverside Sài Gòn
34,411918796,10.7748235,106.7062362,3,,,POINT (106.7062362 10.7748235),4,,Toà nhà Mê Linh Point
35,411918803,10.7756531,106.7060822,3,,,POINT (106.7060822 10.7756531),4,,Công trường Mê Linh
36,411918805,10.7757948,106.7063124,3,,,POINT (106.7063124 10.7757948),3,,
37,411918807,10.7941187,106.689426,4,,,POINT (106.689426 10.7941187),8,Cà Phê StoryM,Trần Nhật Duật
38,411918810,10.774986,106.7060302,3,,,POINT (106.7060302 10.774986),4,,Hồ Huấn Nghiệp
39,411918812,10.775332,106.7059333,3,,,POINT (106.7059333 10.775332),4,Vietcombank,Công trường Mê Linh
40,411918830,10.775818,106.697075,3,,,POINT (106.697075 10.775818),4,Tòa án Nhân dân TP.HCM,Nguyễn Trung Trực
41,411918850,10.7777077,106.6970183,3,,,POINT (106.6970183 10.7777077),4,VietinBank,Quán Ngon 138
42,411918853,10.7875352,106.6947432,3,,,POINT (106.6947432 10.7875352),3,,Phùng Khắc Khoan
43,411918854,10.7787142,106.6959275,3,,,POINT (106.6959275 10.7787142),4,Café 30/4,Nam Kỳ Khởi Nghĩa
44,411918860,10.7710773,106.7024222,4,,,POINT (106.7024222 10.7710773),5,,Nhà Hàng The Elbow Room
45,411918862,10.7706933,106.7035181,3,,,POINT (106.7035181 10.7706933),4,,VietinBank
46,411918863,10.7707369,106.7025753,4,,,POINT (106.7025753 10.7707369),5,Agribank,
47,411918866,10.7796409,106.6968156,4,,,POINT (106.6968156 10.7796409),6,Columbia Asia Saigon,
48,411918867,10.7710294,106.7033721,3,,,POINT (106.7033721 10.7710294),4,Chợ cũ Tôn Thất Đạm,Trường Tiểu Học Hoà Bình
49,411918880,10.7924028,106.7031476,3,,,POINT (106.7031476 10.7924028),6,Nhà Hàng Cậu Ba Quân,Indochina Park Tower
50,411918889,10.7925955,106.7022919,3,,,POINT (106.7022919 10.7925955),6,Nhà Hàng Cậu Ba Quân,Hẻm 26 Đường Nguyễn Bỉnh Khiêm
51,411918892,10.7927117,106.7016166,3,,,POINT (106.7016166 10.7927117),6,Nhà Hàng Cậu Ba Quân,Hoàng Sa
52,411918895,10.7928166,106.700944,3,,,POINT (106.700944 10.7928166),6,Phân viện Công nghệ thực phẩm tại TP. HCM,Hoàng Sa
53,411918897,10.75738,106.6892927,3,,,POINT (106.6892927 10.75738),6,Đen Cafe,Hẻm TK24 Nguyễn Cảnh Chân
54,411918908,10.7586246,106.688165,4,,,POINT (106.688165 10.7586246),8,,Hẻm TK26
55,411918911,10.7879778,106.6991234,3,,,POINT (106.6991234 10.7879778),4,,The MarQ Quận 1
56,411918912,10.7864515,106.6976719,4,,,POINT (106.6976719 10.7864515),4,,Trung tâm Học tập ACB
57,411918913,10.7889195,106.6980433,4,,,POINT (106.6980433 10.7889195),8,,Nhà Hàng El Camino Korean Tacos
58,411918914,10.789874,106.6970381,4,,,POINT (106.6970381 10.789874),6,Quán Bia 2F,
59,411918916,10.7894172,106.6975467,4,,,POINT (106.6975467 10.7894172),8,Trường Tiểu học Đinh Tiên Hoàng,Cây Điệp
60,411918926,10.7709517,106.69163,3,,,POINT (106.69163 10.7709517),6,Telephone bar,
61,411919033,10.7736186,106.6944794,4,traffic_signals,,POINT (106.6944794 10.7736186),4,,Central Park 2 Building
62,411919045,10.7772268,106.7057341,3,,,POINT (106.7057341 10.7772268),4,,Khách Sạn Ngọc Minh
63,411919051,10.7926284,106.697328,4,,,POINT (106.697328 10.7926284),6,KFC,Nguyễn Văn Giai
64,411919062,10.7695606,106.6926934,3,,,POINT (106.6926934 10.7695606),4,,Khách Sạn Saigon Friends
65,411919179,10.7694201,106.6999243,4,,,POINT (106.6999243 10.7694201),8,,Chung cư Nguyễn Thái Bình
66,411919193,10.7768018,106.6999227,4,traffic_signals,,POINT (106.6999227 10.7768018),4,,Đường Lý Tự Trọng
67,411919215,10.7756638,106.7004291,4,,,POINT (106.7004291 10.7756638),4,Starbucks,Cửa Hàng Rượu Red Apron Fine
68,411919278,10.7899274,106.6979911,3,,,POINT (106.6979911 10.7899274),4,Trường Tiểu học Đinh Tiên Hoàng,Nguyễn Thành Ý
69,411919306,10.777776,106.6988723,4,traffic_signals,,POINT (106.6988723 10.777776),4,Highlands Coffee,Resco Tower
70,411919358,10.7731147,106.7000909,4,,,POINT (106.7000909 10.7731147),5,Al Fresco,Nguyễn Trung Trực
71,411919362,10.7719661,106.6989634,3,,,POINT (106.6989634 10.7719661),3,Bệnh viện Đa khoa Sài Gòn,Công trường Quách Thị Trang
72,411919375,10.7892199,106.6954145,3,,,POINT (106.6954145 10.7892199),4,Trường THCS Huỳnh Khương Ninh,Đường Phan Liêm
73,411919405,10.7741609,106.7010766,4,,,POINT (106.7010766 10.7741609),4,bưu điện quận 1,Pasteur
74,411919456,10.7673525,106.6958543,3,,,POINT (106.6958543 10.7673525),4,,Lê Thị Hồng Gấm
75,411919545,10.7752637,106.7039506,3,,,POINT (106.7039506 10.7752637),4,Văn minh cà phê,Khách Sạn Caravelle Saigon
76,411919580,10.7749051,106.7043426,4,,,POINT (106.7043426 10.7749051),6,Katinat - Đồng Khởi,Melchers Vietnam
77,411919664,10.7952422,106.6892495,3,,,POINT (106.6892495 10.7952422),6,,Hoàng Sa
78,411919667,10.7954478,106.6909093,3,,,POINT (106.6909093 10.7954478),4,,Hoàng Sa
79,411919688,10.7953863,106.6899783,4,,,POINT (106.6899783 10.7953863),6,,Hoàng Sa
80,411919795,10.7934094,106.6866379,3,,,POINT (106.6866379 10.7934094),6,,
81,411919798,10.7924287,106.6865247,3,,,POINT (106.6865247 10.7924287),3,,
82,411919995,10.793763,106.6868913,1,,,POINT (106.6868913 10.793763),2,,Hẻm 212 Nguyễn Văn Nguyễn
83,411920001,10.7952656,106.6863289,1,,,POINT (106.6863289 10.7952656),2,Chùa Vạn Thọ,
84,411920048,10.7947733,106.6882349,3,,,POINT (106.6882349 10.7947733),6,,Hẻm 34 Trần Khánh Dư
85,411920449,10.7653674,106.6867017,3,,,POINT (106.6867017 10.7653674),6,Nhà Hàng Ngọc Lan,Hẻm 212B Nguyễn Trãi
86,411920518,10.7643747,106.688687,1,,,POINT (106.688687 10.7643747),2,Phẩy Cocktail,Hẻm 245 Nguyễn Trãi
87,411920646,10.7595125,106.68894,3,,,POINT (106.68894 10.7595125),6,,Hẻm 391 Đường Trần Hưng Ðạo
88,411920722,10.759862,106.690284,3,,,POINT (106.690284 10.759862),6,Cà Phê Vee Ayy,Tòa Nhà Thanh Niên
89,411920788,10.7604348,106.6853651,3,,,POINT (106.6853651 10.7604348),6,,Nguyễn Cảnh Chân
90,411920988,10.7589977,106.6907502,1,,,POINT (106.6907502 10.7589977),2,Trường Tiểu học Chương Dương,Hẻm 19 Trần Ðình Xu
91,411921228,10.7621729,106.6915474,3,,,POINT (106.6915474 10.7621729),6,,
92,411921260,10.7680186,106.6866424,2,,,POINT (106.6866424 10.7680186),4,,Nhà Hàng Soya Pudding
93,411921399,10.7598926,106.6849829,3,,,POINT (106.6849829 10.7598926),6,,Nguyễn Trãi
94,411921451,10.7931572,106.693581,3,,,POINT (106.693581 10.7931572),4,Trường Tiểu học Trần Quang Khải (cơ sở 1),Trần Nguyên Đán
95,411921460,10.7923255,106.6936951,3,traffic_signals,,POINT (106.6936951 10.7923255),6,,Trần Nguyên Đán
96,411921464,10.7936646,106.6935144,3,,,POINT (106.6935144 10.7936646),2,Chùa Đức Quang,Cầu Hoàng Hoa Thám
97,411921534,10.7803853,106.7032908,3,,,POINT (106.7032908 10.7803853),4,Bệnh viện Nhi đồng 2,Bệnh viện Nhi đồng 2
98,411921650,10.794554,106.6919033,1,,,POINT (106.6919033 10.794554),2,Trường Tiểu học Trần Khánh Dư,Trần Khánh Dư
99,411921783,10.7910035,106.6949985,3,,,POINT (106.6949985 10.7910035),4,Đền Thờ Trần Hưng Đạo,Cửa hàng hoa FlowerLine
100,411921883,10.7663718,106.6901596,1,,,POINT (106.6901596 10.7663718),2,,Hẻm 160 Cống Quỳnh
101,411922074,10.7680353,106.6889456,4,,,POINT (106.6889456 10.7680353),7,Bến xe Sài Gòn,Vietnam Guide Home
102,411922167,10.7601648,106.6900035,3,,,POINT (106.6900035 10.7601648),6,,Hẻm 55 Trần Ðình Xu
103,411922370,10.7647224,106.6874957,3,,,POINT (106.6874957 10.7647224),6,Quán Phở Hùng,
104,411922587,10.7610717,106.6925614,3,,,POINT (106.6925614 10.7610717),6,Trường Đại học Mở TP.HCM,Bún Nước Chị Ba
105,411922606,10.7706637,106.6895739,3,,,POINT (106.6895739 10.7706637),4,Thong bún bò huê,Lê Thị Riêng
106,411922629,10.7727057,106.6886089,3,,,POINT (106.6886089 10.7727057),2,Quán Cơm Chay Sala,Quán Cơm Chay Sala
107,411923136,10.7895175,106.701371,1,,,POINT (106.701371 10.7895175),2,Nhà Hàng Chabad Vietnam,Hẻm 5 Đường Nguyễn Ðình Chiểu
108,411923139,10.7918269,106.7027569,3,,,POINT (106.7027569 10.7918269),6,Nhà Hàng Cậu Ba Quân,Indochina Park Tower
109,411923141,10.7878944,106.7028609,3,,,POINT (106.7028609 10.7878944),4,Đài Truyền hình Việt Nam tại TP. HCM,Nhà Hàng The Organic House
110,411923507,10.7658821,106.6967128,3,,,POINT (106.6967128 10.7658821),4,Trường THCS Đồng Khởi,Phan Văn Trường
111,411923562,10.7918788,106.7033378,3,,,POINT (106.7033378 10.7918788),6,Nhà Hàng The Lunch Lady,
112,411923564,10.792299,106.703645,3,,,POINT (106.703645 10.792299),6,Nhà Hàng The Lunch Lady,
113,411923565,10.7917082,106.7032629,3,,,POINT (106.7032629 10.7917082),6,Nhà Hàng The Lunch Lady,
114,411923566,10.7920395,106.7045613,3,,,POINT (106.7045613 10.7920395),6,,
115,411923567,10.7916328,106.7044385,4,,,POINT (106.7044385 10.7916328),8,Nhà Hàng The Lunch Lady,
116,411923568,10.7915094,106.7042745,3,,,POINT (106.7042745 10.7915094),6,Nhà Hàng The Lunch Lady,Hẻm B Chung Cư Nguyễn Ðình Chiểu
117,411923569,10.7911966,106.7041631,1,,,POINT (106.7041631 10.7911966),2,Nhà Hàng The Lunch Lady,
118,411923570,10.7918459,106.7050489,3,,,POINT (106.7050489 10.7918459),6,,Champa Quan Laos Grilled Chicken
119,411923572,10.791516,106.7048914,3,,,POINT (106.7048914 10.791516),6,,
120,411923574,10.7911073,106.7045526,1,,,POINT (106.7045526 10.7911073),2,,
121,411923589,10.7900597,106.7010996,3,,,POINT (106.7010996 10.7900597),4,Nhà Hàng Bum Cha,Hẻm 5 Đường Nguyễn Ðình Chiểu
122,411923629,10.7895785,106.6913984,3,,,POINT (106.6913984 10.7895785),4,Bánh Xèo 46A,Hẻm 87 Nguyễn Hữu Cầu
123,411923637,10.7904752,106.6907459,3,,,POINT (106.6907459 10.7904752),4,Quán Bar Mary Jane’s,Hẻm 79 Nguyễn Hữu Cầu
124,411923755,10.7648639,106.6883082,1,,,POINT (106.6883082 10.7648639),2,Phẩy Cocktail,Nem Nướng Oanh Vy
125,411924866,10.77135,106.6915395,3,,,POINT (106.6915395 10.77135),4,Cà Phê Cheese,Nguyễn Văn Tráng
126,411924900,10.7597381,106.6847069,3,,,POINT (106.6847069 10.7597381),6,,Nguyễn Trãi
127,411925089,10.7655737,106.6956108,3,,,POINT (106.6956108 10.7655737),6,,Vy da backpacker hostel 2
128,411925290,10.7935503,106.6870752,3,,,POINT (106.6870752 10.7935503),6,,Nguyễn Văn Nguyễn
129,411925298,10.7918663,106.7000366,3,,,POINT (106.7000366 10.7918663),6,,Hẻm 54 Nguyễn Bỉnh Khiêm
130,411925307,10.7720824,106.6923274,3,,,POINT (106.6923274 10.7720824),3,,Cách Mạng Tháng 8
131,411925309,10.7911731,106.693844,3,,,POINT (106.693844 10.7911731),6,Nhà Hàng The Organic,Trung tâm Ứng dụng công nghệ thông tin và Dữ liệu phía Nam
132,411925391,10.791038,106.70091,3,,,POINT (106.70091 10.791038),6,Nhà Hàng Xẻng - Mồi & Bia,Hẻm 26 Đường Nguyễn Bỉnh Khiêm
133,411925400,10.7939515,106.6883853,3,,,POINT (106.6883853 10.7939515),6,Nhà Thờ Thánh Gia,Hẻm 34 Trần Khánh Dư
134,411925414,10.7909018,106.6929164,1,,,POINT (106.6929164 10.7909018),2,Cà Phê Và Kem Nếp Cẩm,Hẻm 9 Đường Lý Văn Phức
135,411925415,10.7909776,106.69301,3,,,POINT (106.69301 10.7909776),6,Nhà Hàng The Organic,Hẻm 9 Đường Lý Văn Phức
136,411925417,10.7914841,106.6935069,3,,,POINT (106.6935069 10.7914841),6,Nhà Hàng The Organic,Trung tâm Ứng dụng công nghệ thông tin và Dữ liệu phía Nam
137,411925425,10.789409,106.6909832,1,,,POINT (106.6909832 10.789409),2,Bánh Xèo 46A,Hẻm Nguyễn Hữu Cầu
138,411925445,10.7680964,106.7007414,4,,,POINT (106.7007414 10.7680964),8,茶sis Teahouse,
139,411925599,10.7669467,106.6994133,3,,,POINT (106.6994133 10.7669467),6,Sacombank,Nguyễn Công Trứ
140,411925603,10.7680176,106.6984201,4,,,POINT (106.6984201 10.7680176),8,Huy Hoàng Limousine,Hẻm 55 Lê Thị Hồng Gấm
141,411925607,10.768921,106.6976004,3,,,POINT (106.6976004 10.768921),6,,Chất Coffee Roasters & Bistro
142,411925830,10.7784491,106.6939566,3,,,POINT (106.6939566 10.7784491),2,,Trường THPT Lê Quý Đôn
143,411925891,10.7900834,106.6991415,4,,,POINT (106.6991415 10.7900834),8,,Phan Kế Bính
144,411925893,10.7891062,106.7001939,3,,,POINT (106.7001939 10.7891062),4,Cà Phê Hi End,Cà Phê Hi End
145,411925896,10.7908255,106.6969942,3,,,POINT (106.6969942 10.7908255),3,,Đinh Tiên Hoàng
146,411925901,10.791062,106.6911349,3,,,POINT (106.6911349 10.791062),6,,Thạch Thị Thanh
147,411925910,10.7681398,106.6843781,3,traffic_signals,,POINT (106.6843781 10.7681398),2,Bệnh viện Từ Dũ (khu M),Cao Thắng
148,411925934,10.7781081,106.7047964,4,,,POINT (106.7047964 10.7781081),4,Nhà Hàng Le Corto,Nhà Hàng El Gaucho
149,411925935,10.784656,106.6978569,4,,,POINT (106.6978569 10.784656),5,,Phùng Khắc Khoan
150,411925936,10.7855174,106.6986683,3,,,POINT (106.6986683 10.7855174),4,Highlands Coffee,
151,411925937,10.7736801,106.7056516,4,,,POINT (106.7056516 10.7736801),6,Agribank,Nhà Hàng Pháp La Fourchette
152,411925939,10.7783352,106.7045538,4,,,POINT (106.7045538 10.7783352),4,Nhà Hàng Le Corto,Nhật Hạ 3
153,411925940,10.7788759,106.7050579,3,,,POINT (106.7050579 10.7788759),3,Cà Phê Người Sài Gòn,Cà Phê Người Sài Gòn
154,411925945,10.7818313,106.7045966,4,,,POINT (106.7045966 10.7818313),6,Bệnh viện Nhi đồng 2,Booze Wine Bar
155,411925946,10.7816783,106.6969506,4,traffic_signals,,POINT (106.6969506 10.7816783),4,,Bach Suites Saigon
156,411925950,10.7872252,106.7050349,3,,,POINT (106.7050349 10.7872252),3,,Nguyễn Bỉnh Khiêm
157,411925954,10.7826605,106.7017473,3,,,POINT (106.7017473 10.7826605),4,Viện Hàn lâm Khoa học và Công nghệ Việt Nam tại TP.HCM,Nguyễn Du
158,411925956,10.7813583,106.7053602,4,,,POINT (106.7053602 10.7813583),6,Shelter Coffee and Tea,Azumaya Hotel Le Thanh Ton
159,411925958,10.7779066,106.7061554,1,,,POINT (106.7061554 10.7779066),2,,Thái Văn Lung
160,411925962,10.7761461,106.7055219,3,,,POINT (106.7055219 10.7761461),6,Cộng Cà Phê,Firkin
161,411925963,10.7918102,106.6958718,4,,,POINT (106.6958718 10.7918102),5,Trà Sữa Phúc Long,Dinh Tien Hoang Street
162,411925966,10.791433,106.6874992,4,traffic_signals,,POINT (106.6874992 10.791433),3,Quán Karaoke Kingdom,An Vegan
163,411925967,10.7898058,106.6937982,3,,,POINT (106.6937982 10.7898058),3,ATM VietinBank,Trường Tiểu học Trần Quang Khải (cơ sở 2)
164,411925979,10.7894757,106.6966421,3,,,POINT (106.6966421 10.7894757),4,Cà Phê Passio,Markdao Agency
165,411925981,10.7915923,106.6986553,3,,,POINT (106.6986553 10.7915923),4,Trường THPT Năng Khiếu Thể Dục Thể Thao,Mai Thị Lựu
166,411925982,10.7903362,106.6965272,4,,,POINT (106.6965272 10.7903362),7,Bánh Mì Bảy Hổ,Phan Ngữ
167,411925984,10.7904945,106.7015127,4,,,POINT (106.7015127 10.7904945),6,Nhà Hàng Xẻng - Mồi & Bia,Đài tiếng nói nhân dân TP.HCM
168,411925985,10.7886056,106.7035437,4,traffic_signals,,POINT (106.7035437 10.7886056),5,,Nguyễn Bỉnh Khiêm
169,411925987,10.78457,106.6996774,4,traffic_signals,,POINT (106.6996774 10.78457),6,KFC,Khách Sạn Mường Thanh Sài Gòn Centre
170,411925988,10.7885752,106.6977273,3,,,POINT (106.6977273 10.7885752),6,Quán Chay Nhà Tôi,Nguyễn Văn Thủ
171,411925989,10.7926663,106.6967184,3,,,POINT (106.6967184 10.7926663),6,Chợ Đa Kao,Nguyễn Huy Tự
172,411925992,10.7890472,106.6972026,3,,,POINT (106.6972026 10.7890472),6,,Nguyễn Thành Ý
173,411925996,10.7911563,106.6966416,3,,,POINT (106.6966416 10.7911563),4,Kem Nhãn Chú Tám,Đường Đinh Tiên Hoàng
174,411926001,10.7737053,106.6994435,3,,,POINT (106.6994435 10.7737053),6,Nhà Hàng Buzza Pizza,Nhà Hàng Rơm BBQ
175,411926010,10.775427,106.7048401,3,,,POINT (106.7048401 10.775427),6,,Phan Văn Ðạt
176,411926012,10.7928474,106.6913395,3,,,POINT (106.6913395 10.7928474),6,Lẩu Mắm Bà Dú,Lẩu Mắm Bà Dú
177,411926019,10.7919649,106.6915596,4,,,POINT (106.6915596 10.7919649),8,Highlands Coffee,Thế Giới Di Động
178,411926021,10.7917238,106.6932665,3,,,POINT (106.6932665 10.7917238),4,Cà Phê Và Kem Nếp Cẩm,Trung tâm Ứng dụng công nghệ thông tin và Dữ liệu phía Nam
179,411926022,10.7905308,106.692228,3,,,POINT (106.692228 10.7905308),6,Trường Tiểu học Đuốc Sống,Thạch Thị Thanh
180,411926028,10.791466,106.7004476,4,,,POINT (106.7004476 10.791466),8,,Nguyễn Văn Thủ
181,411926029,10.7905412,106.694522,3,,,POINT (106.694522 10.7905412),4,ATM Sacombank,Cửa hàng hoa FlowerLine
182,411926034,10.7823516,106.7004492,4,,,POINT (106.7004492 10.7823516),6,ATM ACB,Đường Lê Duẩn
183,411926037,10.7816326,106.7055963,3,,,POINT (106.7055963 10.7816326),4,,QUÁN BỤI - Original
184,411926043,10.7805129,106.7069926,4,,,POINT (106.7069926 10.7805129),7,JUICETIN,Nguyễn Siêu
185,411926055,10.7721656,106.6944832,3,,,POINT (106.6944832 10.7721656),3,Nhà Hàng TNT BBQ,Tanpopo
186,411926058,10.7729527,106.6935192,3,,,POINT (106.6935192 10.7729527),3,Trường THCS Nguyễn Du,Đặng Trần Côn
187,411926065,10.7748182,106.6961505,4,traffic_signals,,POINT (106.6961505 10.7748182),4,,indochine spa
